Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LSINS26110-1,100.0,99.9417,28
2022-08-27,LSINS26110-2,100.0,100.0,28
2022-08-27,LSINS26110-3,100.0,100.0,28
2022-08-27,LSINS26110-5,100.0,100.0,28
2022-08-27,LSINS26110-6,100.0,100.0,28
2022-08-27,LSINS26110-7,100.0,99.8069,28
2022-08-27,LSINS26006-1,100.0,100.0,14
2022-08-27,LSINS26006-2,100.0,99.9371,14
2022-08-27,LSINS26006-3,99.9922,99.9243,14
2022-08-27,LSINS26006-5,100.0,100.0,14
2022-08-27,LSINS26006-6,100.0,99.9259,14
2022-08-27,LSINS26006-7,100.0,99.9778,14
2022-08-27,LSINS26068-1,99.7722,99.784,14
2022-08-27,LSINS26068-2,100.0,100.0,14
2022-08-27,LSINS26068-3,100.0,100.0,14
2022-08-27,LSINS26068-5,100.0,100.0,14
2022-08-27,LSINS26068-6,100.0,100.0,14
2022-08-27,LSINS26068-7,100.0,100.0,14
2022-08-27,LSINS26066-1,100.0,100.0,14
2022-08-27,LSINS26066-2,100.0,99.8972,14
2022-08-27,LSINS26066-3,100.0,100.0,14
2022-08-27,LSINS26066-5,100.0,100.0,14
2022-08-27,LSINS26066-6,99.5098,99.8985,14
2022-08-27,LSINS26066-7,99.7046,99.9304,14
2022-08-27,LSINS36018-7,99.9134,100.0,5
2022-08-27,LSINS36018-6,100.0,100.0,5
2022-08-27,LSINS36018-5,100.0,100.0,5
2022-08-27,LSINS36056-7,100.0,100.0,5
2022-08-27,LSINS36056-6,99.938,99.8189,5
2022-08-27,LSINS36056-5,100.0,99.8795,5
2022-08-27,LSINS26003-1,100.0,99.914,14
2022-08-27,LSINS26003-2,100.0,99.878,14
2022-08-27,LSINS26003-3,100.0,99.8682,14
2022-08-27,LSINS26003-5,100.0,99.9345,14
2022-08-27,LSINS26003-6,100.0,100.0,14
2022-08-27,LSINS26003-7,100.0,100.0,14
2022-08-27,LCAIW30335-1,100.0,99.8858,27
2022-08-27,LCAIW30335-2,100.0,99.7147,27
2022-08-27,LCAIW30335-3,99.9145,99.7519,27
2022-08-27,LCAIW30335-5,100.0,100.0,27
2022-08-27,LCAIW30335-6,100.0,99.7951,27
2022-08-27,LCAIW30335-7,100.0,99.683,27
2022-08-27,LCAIW30529-1,100.0,100.0,27
2022-08-27,LCAIW30529-2,100.0,100.0,27
2022-08-27,LCAIW30529-3,100.0,100.0,27
2022-08-27,LCAIW30529-5,100.0,99.684,27
2022-08-27,LCAIW30529-6,100.0,100.0,27
2022-08-27,LCAIW30529-7,100.0,100.0,27
2022-08-27,LCAIW30329-7,100.0,100.0,27
2022-08-27,LCAIW30329-6,100.0,100.0,27
2022-08-27,LCAIW30329-5,100.0,99.871,27
2022-08-27,LCAIW30329-3,100.0,100.0,27
2022-08-27,LCAIW30329-2,100.0,99.7863,27
2022-08-27,LCAIW30329-1,99.921,100.0,27
2022-08-27,LCAIW30507-7,100.0,100.0,27
2022-08-27,LCAIW30507-6,100.0,100.0,27
2022-08-27,LCAIW30507-5,100.0,100.0,27
2022-08-27,LCAIW30507-3,100.0,100.0,27
2022-08-27,LCAIW30507-2,100.0,100.0,27
2022-08-27,LCAIW30507-1,100.0,99.6983,27
2022-08-27,LCAIW30331-1,100.0,100.0,27
2022-08-27,LCAIW30331-2,100.0,99.9465,27
2022-08-27,LCAIW30331-3,99.9078,100.0,27
2022-08-27,LCAIW30331-5,100.0,99.8428,27
2022-08-27,LCAIW30331-6,100.0,100.0,27
2022-08-27,LCAIW30331-7,99.8615,100.0,27
2022-08-27,LCAIW30321-7,99.9405,54.9308,27
2022-08-27,LCAIW30321-6,99.9545,67.4162,27
2022-08-27,LCAIW30321-5,100.0,52.504,27
2022-08-27,LCAIW30321-3,100.0,55.0173,27
2022-08-27,LCAIW30321-2,100.0,53.5242,27
2022-08-27,LCAIW30321-1,100.0,45.5379,27
2022-08-27,LCAIW30319-1,100.0,100.0,44
2022-08-27,LCAIW30319-2,100.0,100.0,44
2022-08-27,LCAIW30319-3,100.0,100.0,44
2022-08-27,LCAIW30319-5,100.0,100.0,44
2022-08-27,LCAIW30319-6,100.0,100.0,44
2022-08-27,LCAIW30319-7,100.0,100.0,44
2022-08-27,LCAIW30311-7,100.0,100.0,44
2022-08-27,LCAIW30311-6,100.0,100.0,44
2022-08-27,LCAIW30311-5,100.0,99.7712,44
2022-08-27,LCAIW30311-3,100.0,100.0,44
2022-08-27,LCAIW30311-2,100.0,100.0,44
2022-08-27,LCAIW30311-1,99.8611,99.6104,44
2022-08-27,LCAIW30307-1,100.0,100.0,44
2022-08-27,LCAIW30307-2,100.0,100.0,44
2022-08-27,LCAIW30307-3,100.0,100.0,44
2022-08-27,LCAIW30307-5,100.0,100.0,44
2022-08-27,LCAIW30307-6,100.0,100.0,44
2022-08-27,LCAIW30307-7,100.0,99.5708,44
2022-08-27,LCAIW20302-1,99.8639,100.0,9
2022-08-27,LCAIW20302-2,99.4652,99.6016,9
2022-08-27,LCAIW20302-3,100.0,100.0,9
2022-08-27,LCAIW20302-5,97.4026,99.3528,9
2022-08-27,LCAIW20302-6,100.0,98.4252,9
