Account,Account State,Account Usage State,Roles
admin,UNLOCKED,ACTIVE,SystemAdministrator
admin,UNLOCKED,ACTIVE,Mtas_Application_Administrator
admin,UNLOCKED,ACTIVE,Mtas_Application_Operator
admin,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
admin,UNLOCKED,ACTIVE,Mtas_Application_Operator_OSSUser
admin,UNLOCKED,ACTIVE,Mtas_Application_Security_Administrator
admin,UNLOCKED,ACTIVE,Self
admin,UNLOCKED,ACTIVE,SystemReadOnly
admin,UNLOCKED,ACTIVE,SystemSecurityAdministrator
admin,UNLOCKED,ACTIVE,SystemTroubleshooter
readonly,UNLOCKED,ACTIVE,Mtas_Application_Security_Administrator
readonly,UNLOCKED,ACTIVE,SystemReadOnly
enm_user,LOCKED,DORMANT,LocalAuthenticationAdministrator
enm_user,LOCKED,DORMANT,CscfApplicationSecurityAdministrator
enm_user,LOCKED,DORMANT,CscfApplicationAdministrator
enm_user,LOCKED,DORMANT,SystemSecurityAdministrator
enm_user,LOCKED,DORMANT,CscfApplicationOperator
enm_user,LOCKED,DORMANT,SystemTroubleshooter
enm_user,LOCKED,DORMANT,SystemAdministrator
vmtasdc,LOCKED,DORMANT,SystemAdministrator
oss_pm,UNLOCKED,ACTIVE,SystemAdministrator
oss_pm,UNLOCKED,ACTIVE,Mtas_Application_Administrator
oss_pm,UNLOCKED,ACTIVE,Mtas_Application_Operator
oss_pm,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
oss_pm,UNLOCKED,ACTIVE,Mtas_Application_Operator_OSSUser
oss_pm,UNLOCKED,ACTIVE,Mtas_Application_Security_Administrator
oss_pm,UNLOCKED,ACTIVE,Self
oss_pm,UNLOCKED,ACTIVE,SystemReadOnly
oss_pm,UNLOCKED,ACTIVE,SystemSecurityAdministrator
oss_pm,UNLOCKED,ACTIVE,SystemTroubleshooter
